Name,Sponsor,University,Sport,Instagram,Twitter,Gender
Jonathan Shuskey,The Winston Collection,Christian Brothers University,Golf,https://instagram.com/j_shuskey1,https://twitter.com/@j_shuskey1,1
Collin Gillespie,Barstool Sports,Villanova University,Basketball,https://instagram.com/collin105,https://twitter.com/@Colling1021,1
Collin Gillespie,Outback Steakhouse,Villanova University,Basketball,https://instagram.com/collin105,https://twitter.com/@Colling1021,1
Buddy Boeheim,Enduraphin,Syracuse University,Basketball,https://instagram.com/buddy_boeheim,https://twitter.com/@Buddy_Boeheim35,1
Buddy Boeheim,Three Wishes Cereal,Syracuse University,Basketball,https://instagram.com/buddy_boeheim,https://twitter.com/@Buddy_Boeheim35,1
Armando Bacot,Jimmy's Seafood,University of North Carolina at Chapel Hill,Basketball,https://instagram.com/armando,https://twitter.com/@iget_buckets35,1
Aaron McLaughlin,Barstool Sports,North Carolina State University,Football,https://instagram.com/apm.11,https://twitter.com/@11_apm,1
Brevin Galloway,Barstool Sports,Boston College,Basketball,https://instagram.com/brevingalloway,https://twitter.com/@BrevinGalloway,1
Bryce Young,Cash App,University of Alabama,Football,https://instagram.com/bryceyoung,https://twitter.com/@_bryce_young,1
Graham Mertz,Raising Canes,University of Wisconsin–Madison,Football,https://instagram.com/graham_mertz5,https://twitter.com/@grahammertz5,1
B.J. Foster,PSD Underwear,University of Texas at Austin,Football,https://instagram.com/bjfoster_59,https://twitter.com/@bjfoster25,1
B.J. Foster,SoHoodie,University of Texas at Austin,Football,https://instagram.com/bjfoster_59,https://twitter.com/@bjfoster25,1
Deshun Murrell,PSD Underwear,"University of California, Los Angeles",Football,https://instagram.com/deshun_03,https://twitter.com/@deshun_03,1
Deshun Murrell,SoHoodie,"University of California, Los Angeles",Football,https://instagram.com/deshun_03,https://twitter.com/@deshun_03,1
Deshun Murrell,Wrangler,"University of California, Los Angeles",Football,https://instagram.com/deshun_03,https://twitter.com/@deshun_03,1
Bryan Robinson,PSD Underwear,Florida State University,Football,https://instagram.com/iam_b3r,,1
Bryan Robinson,SoHoodie,Florida State University,Football,https://instagram.com/iam_b3r,,1
Bryan Robinson,Yoke Gaming,Florida State University,Football,https://instagram.com/iam_b3r,,1
Angel Reese,Outback Steakhouse,"University of Maryland, College Park",Basketball,https://instagram.com/angelreese10,,0
D'Eriq King,College Hunks Hauling Junk,University of Miami,Football,https://instagram.com/deriqking,https://twitter.com/@deriqking_,1
D'Eriq King,The Wharf,University of Miami,Football,https://instagram.com/deriqking,https://twitter.com/@deriqking_,1
Spencer Rattler,Raising Canes,University of Oklahoma,Football,https://instagram.com/spencer_rattler,https://twitter.com/@SpencerRattler,1
Hanna Cavinder,Boost Mobile,"California State University, Fresno",Basketball,https://instagram.com/hanna.cavinder,,0
Hanna Cavinder,Six Star Pro Nutrition,"California State University, Fresno",Basketball,https://instagram.com/hanna.cavinder,,0
Haley Cavinder,Boost Mobile,"California State University, Fresno",Basketball,https://instagram.com/haleycavinder,,0
Haley Cavinder,Six Star Pro Nutrition,"California State University, Fresno",Basketball,https://instagram.com/haleycavinder,,0
Nik Scalzo,Barstool Sports,University of Kentucky,Football,https://instagram.com/nikscalzo,https://twitter.com/@nikscalzo,1
Austin Deculus,Barstool Sports,Louisiana State University,Football,https://instagram.com/Austin_Deculus_Deculus76,,1
Austin Deculus,PSD Underwear,Louisiana State University,Football,https://instagram.com/Austin_Deculus_Deculus76,,1
Austin Deculus,Yoke Gaming,Louisiana State University,Football,https://instagram.com/Austin_Deculus_Deculus76,,1
Spencer Lee,Barstool Sports,University of Iowa,Wrestling,https://instagram.com/spencerlee365,https://twitter.com/@Leespencerlee36,1
Mitchell Pehlke,Barstool Sports,The Ohio State University,Lacrosse,https://instagram.com/mitchell_pehlke,https://twitter.com/@mitchellpehlke,1
Mitchell Pehlke,Degree Deodorant,The Ohio State University,Lacrosse,https://instagram.com/mitchell_pehlke,https://twitter.com/@mitchellpehlke,1
Adrian Martinez,Degree Deodorant,University of Nebraska–Lincoln,Football,https://instagram.com/adrianmartinez.2,,1
Adrian Martinez,Six Star Pro Nutrition,University of Nebraska–Lincoln,Football,https://instagram.com/adrianmartinez.2,,1
Patrick McCaffery,Barstool Sports,University of Iowa,Basketball,https://instagram.com/patrickmccaffery22,https://twitter.com/@patrickmccaff22,1
Malachi Moore,Milo's Tea Company,University of Alabama,Football,https://instagram.com/kinggchi,,1
Malachi Moore,PSD Underwear,University of Alabama,Football,https://instagram.com/kinggchi,,1
Cory Durden,PSD Underwear,North Carolina State University,Football,https://instagram.com/16_shotzz,https://twitter.com/@Pedro2Pesos,1
Cory Durden,Six Star Pro Nutrition,North Carolina State University,Football,https://instagram.com/16_shotzz,https://twitter.com/@Pedro2Pesos,1
Cory Durden,Vale Food Co,North Carolina State University,Football,https://instagram.com/16_shotzz,https://twitter.com/@Pedro2Pesos,1
Joseph Girard III,Yoke Gaming,Syracuse University,Basketball,https://instagram.com/jg3____,https://twitter.com/@jg3_____,1
Joe Hampton,PSD Underwear,"California State University, Long Beach",Basketball,https://instagram.com/jmmh_3,https://twitter.com/@jmmh_3,1
Tyrese Chambers,SoHoodie,Florida International University,Football,https://instagram.com/team_rese,,1
Tyrese Chambers,Taco Time +,Florida International University,Football,https://instagram.com/team_rese,,1
Velus Jones Jr.,Metro Straw,University of Tennessee,Football,https://instagram.com/iam_vjj,https://twitter.com/@velusjr,1
Velus Jones Jr.,Yoke Gaming,University of Tennessee,Football,https://instagram.com/iam_vjj,https://twitter.com/@velusjr,1
John Rhys Plumlee,Craddock Oil Company / Blue Sky Corporation,University of Mississippi,Football,,,1
Hunter Dickinson,Outback Steakhouse,University of Michigan,Basketball,https://instagram.com/hunter.dickinson1,https://twitter.com/@H_Dickinson24,1
Shanya Luna,Barstool Sports,Louisiana State University,Cross Country,https://instagram.com/shanyaluna,https://twitter.com/@shanyaluna,0
Shanya Luna,Celsius,Louisiana State University,Cross Country,https://instagram.com/shanyaluna,https://twitter.com/@shanyaluna,0
Shanya Luna,Liquid I.V.,Louisiana State University,Cross Country,https://instagram.com/shanyaluna,https://twitter.com/@shanyaluna,0
Marcus Bagley,Outback Steakhouse,Arizona State University,Basketball,https://instagram.com/marcus,,1
Rachel Heck,PING Golf,Stanford University,Golf,https://instagram.com/_rachelheck_,,1
Rachel Heck,Stifel,Stanford University,Golf,https://instagram.com/_rachelheck_,,1
RayQuawndis Mitchell,Barstool Sports,University of Illinois at Chicago,Basketball,https://instagram.com/RayQuawndis,https://twitter.com/@rayquawndis,1
Shedeur Sanders,Beats by Dre,Jackson State University,Football,https://instagram.com/shedeursanders,https://twitter.com/@ShedeurSanders,1
Shedeur Sanders,Gatorade,Jackson State University,Football,https://instagram.com/shedeursanders,https://twitter.com/@ShedeurSanders,1
Quan Lee,JS2 Cattle Company,University of Central Florida,Football,,https://twitter.com/@QuanLee_5,1
Quan Lee,Travous Dever,University of Central Florida,Football,,https://twitter.com/@QuanLee_5,1
Quan Lee,Your Brand Voice,University of Central Florida,Football,,https://twitter.com/@QuanLee_5,1
Hercy Miller,Web Apps America,Tennessee State University,Basketball,,,1
Jordan Bohannon,Iowa Boomin Fireworks,University of Iowa,Basketball,,https://twitter.com/@JordanBo_3,1
Lexi Sun,REN athletics,University of Nebraska–Lincoln,Volleyball,,,0
Connor McCaffery,Barstool Sports,University of Iowa,Basketball,https://instagram.com/Connor_m30,https://twitter.com/@connor_m30,1
Brian Maurer,Barstool Sports,University of Tennessee,Football,https://instagram.com/brianmaurer18,https://twitter.com/@maurerera_2,1
Brian Maurer,Metro Straw,University of Tennessee,Football,https://instagram.com/brianmaurer18,https://twitter.com/@maurerera_2,1
Isaiah Cottrell,Barstool Sports,West Virginia University,Basketball,https://instagram.com/isaiah.cottrell,https://twitter.com/@IsaiahCottrell,1
Jaydin Eierman,Barstool Sports,University of Iowa,Wrestling,https://instagram.com/jeierman65kg,https://twitter.com/@JEierman65kg,1
Devin Folser,Barstool Sports,Mercer University,Football,https://instagram.com/DevinFolser,https://twitter.com/@DevinFolser,1
Devin Folser,Barstool Sports,Mercer University,Football,https://instagram.com/DevinFolser,https://twitter.com/@DevinFolser,1
Tali Popinko,Barstool Sports,Temple University,Field Hockey,https://instagram.com/talipopinko,https://twitter.com/@talipopinko,0
Jalen Bridges,Barstool Sports,West Virginia University,Basketball,https://instagram.com/bigbucketjb,https://twitter.com/@jalenbridgess,1
Justin Allone,Barstool Sports,Seton Hall University,Cross Country,https://instagram.com/justin_allone,https://twitter.com/@justin_allone,1
Ross Reiter,Barstool Sports,Colorado State University,Football,https://instagram.com/rreiter50,https://twitter.com/@reiterr50,1
Owen Lindmark,Barstool Sports,University of Wisconsin–Madison,Ice Hockey,https://instagram.com/owenlindmark,https://twitter.com/@owenlindmark,1
Andra Espinoza-Hunter,Barstool Sports,Seton Hall University,Basketball,https://instagram.com/andra.espinozaespinozahunter,https://twitter.com/@andra_ehunter,0
Avery Drake,Barstool Sports,Houston Baptist University,Softball,https://instagram.com/avery.drake,https://twitter.com/@averymdrake,0
Jacoby Boykins,Barstool Sports,University of Alabama,Football,https://instagram.com/jacobyboykins,https://twitter.com/@jexgohard,1
D'vonte Price,Barstool Sports,Florida International University,Football,https://instagram.com/dvonteprice24,https://twitter.com/@dre_izzle_24,1
Amari Gainer,Barstool Sports,Florida State University,Football,https://instagram.com/Rari33_,https://twitter.com/@Amarigainer,1
Will Levis,Barstool Sports,University of Kentucky,Football,https://instagram.com/w.lev,https://twitter.com/@will_levis,1
Cam Thompson,Barstool Sports,Purdue University,Baseball,https://instagram.com/Cameront4,https://twitter.com/@Cameront4224,1
Gable Steveson,Barstool Sports,University of Minnesota,Wrestling,https://instagram.com/GableSteveson,https://twitter.com/@GableSteveson,1
Colby Jones,Barstool Sports,Xavier University,Basketball,https://instagram.com/Kovajones,https://twitter.com/@Kovajoness,1
Brennan Canada,Barstool Sports,University of Kentucky,Basketball,https://instagram.com/brennanc14,https://twitter.com/@brennanc14,1
Spencer Webb,Barstool Sports,University of Oregon,Football,https://instagram.com/Sp1derw8bb,https://twitter.com/@Spencer_webb_18,1
Jasmine Sievers,Barstool Sports,University of Oregon,Softball,https://instagram.com/jassievers,https://twitter.com/@jassievers,0
Alex O'Connell,Barstool Sports,Creighton University,Basketball,https://instagram.com/alex_oc15,https://twitter.com/@Alex_OC11,1
Tae-Vheon Alcorn,Barstool Sports,University of Kansas,Track and Field,https://instagram.com/taevheon,https://twitter.com/@taevheon,1
Canon Claycomb,Barstool Sports,University of Alabama,Golf,https://instagram.com/Canonclaycomb,https://twitter.com/@golfball01,1
Bryce Frederick,Barstool Sports,Towson University,Baseball,https://instagram.com/bafreddy26,https://twitter.com/@BFreddy14,1
Alana Walker,Barstool Sports,Northwestern University,Volleyball,https://instagram.com/alanawalker14,,0
Sydney Parrish,Barstool Sports,University of Oregon,Basketball,https://instagram.com/sydney_parrishh,,0
Christian Geddes,Barstool Sports,Iona College,Soccer,https://instagram.com/christian_geddes14,,1
Madison Jurgens,Barstool Sports,University of South Dakota,Volleyball,https://instagram.com/mjurgens14,https://twitter.com/@mjurgens14,0
Drew Durst,Barstool Sports,Stephen F. Austin State University,Baseball,https://instagram.com/durst_drew,https://twitter.com/@durst_drew,1
Drew Durst,Rhoback,Stephen F. Austin State University,Baseball,https://instagram.com/durst_drew,https://twitter.com/@durst_drew,1
Will Reichard,Barstool Sports,University of Alabama,Football,https://instagram.com/willreichard16,https://twitter.com/@WillReichard,1
Skylar Smith,Barstool Sports,Santa Clara University,Soccer,https://instagram.com/skylar__smith,https://twitter.com/@sky__smith,0
Segun Afolabi,Barstool Sports,University of South Florida,Soccer,https://instagram.com/king.segun,https://twitter.com/@KingSegun11,1
Benjamin Schwartz,Barstool Sports,Cornell University,Golf,https://instagram.com/ben_schwartz14,https://twitter.com/@benlschwartz14,1
Jacolbe Cowan,Barstool Sports,The Ohio State University,Football,https://instagram.com/jacolbec12,https://twitter.com/@JacolbeC12,1
Matt Torres,Barstool Sports,Fairfield University,Swimming and Diving,https://instagram.com/realmatttorres,,1
McKenzie Bump,Barstool Sports,The Ohio State University,Softball,https://instagram.com/zbump7,https://twitter.com/@Bump7Bump,0
Omar Manning,PSD Underwear,University of Nebraska–Lincoln,Football,https://instagram.com/theomarmanning,https://twitter.com/@TheOmarManning,1
Dakereon Joyner,PSD Underwear,University of South Carolina,Football,https://instagram.com/kereonjoyner,,1
Christopher Allen,PSD Underwear,University of Alabama,Football,,https://twitter.com/@Allen_Greatness,1
Christopher Allen,Yoke Gaming,University of Alabama,Football,,https://twitter.com/@Allen_Greatness,1
CJ Dippre,Barstool Sports,"University of Maryland, College Park",Football,https://instagram.com/Cj_dippre18,https://twitter.com/@CjDippre,1
Fabiola Declet,Barstool Sports,Florida International University,Cross Country,https://instagram.com/fdeclet_,https://twitter.com/@declet_f,0
Madison Harms,Barstool Sports,University of South Dakota,Volleyball,https://instagram.com/madison.harms,https://twitter.com/@madison_harms,0
Matthew Cleveland,Yoke Gaming,Florida State University,Basketball,https://instagram.com/mcleve35,,1
Javion Cohen,Barstool Sports,University of Alabama,Football,https://instagram.com/cnoivaj,https://twitter.com/@cnoivaj,1
Javion Cohen,Yoke Gaming,University of Alabama,Football,https://instagram.com/cnoivaj,https://twitter.com/@cnoivaj,1
LaTrell Bumphus,Yoke Gaming,University of Tennessee,Football,https://instagram.com/latrell_bumphus,https://twitter.com/@LBumphus,1
Theo Jackson,Yoke Gaming,University of Tennessee,Football,https://instagram.com/theojackson26,https://twitter.com/@theo_jackson05,1
Dariauna Lewis,Barstool Sports,Alabama Agricultural and Mechanical University,Basketball,https://instagram.com/theofficialstretch,https://twitter.com/@Dariauna1,0
Tia Dorshorst,Barstool Sports,University of Wisconsin–Madison,Track and Field,https://instagram.com/tiadorshorst,,0
Morgan Pankow,Barstool Sports,University of Miami,Golf,https://instagram.com/morgan.pankow,https://twitter.com/@morganp_11,0
Luke Olson,Barstool Sports,University of South Dakota,Track and Field,https://instagram.com/lukeolson12,https://twitter.com/@olsonluke52,1
Maddy Siegrist,Barstool Sports,Villanova University,Basketball,https://instagram.com/maddys20,https://twitter.com/@20sMaddy,0
Maddy Siegrist,Outback Steakhouse,Villanova University,Basketball,https://instagram.com/maddys20,https://twitter.com/@20sMaddy,0
Natalie Smith,Barstool Sports,San Diego State University,Volleyball,https://instagram.com/nataliemaesmith,https://twitter.com/@natalieeee_1,0
Jaden Pask,Barstool Sports,Davidson College,Football,https://instagram.com/jpask_2,https://twitter.com/@Jpask00,1
Evan Russell,Barstool Sports,University of Tennessee,Baseball,https://instagram.com/evanrussell4,https://twitter.com/@EvanRussell_4,1
Jake Lynch,Barstool Sports,Stanford University,Football,https://instagram.com/jake_lynch10,https://twitter.com/@jake_lynch7,1
Jake Lynch,Barstool Sports,Stanford University,Football,https://instagram.com/jake.lynch19,https://twitter.com/@_JakeLynch,1
Jake Lynch,Barstool Sports,Texas State University,Football,https://instagram.com/jake_lynch10,https://twitter.com/@jake_lynch7,1
Jake Lynch,Barstool Sports,Texas State University,Football,https://instagram.com/jake.lynch19,https://twitter.com/@_JakeLynch,1
Christian Dicochea,Barstool Sports,University of Washington,Baseball,https://instagram.com/christiandicochea,https://twitter.com/@jdicochea1,1
Ali Gaye,Barstool Sports,Louisiana State University,Football,https://instagram.com/unos1_,https://twitter.com/@unos1_,1
Justin Ademilola,Six Star Pro Nutrition,University of Notre Dame,Football,https://instagram.com/justinademilola,,1
Jayson Ademilola,Six Star Pro Nutrition,University of Notre Dame,Football,https://instagram.com/jaysonademilola,,1
D.J. Uiagalelei,Bojangles,Clemson University,Football,https://instagram.com/shaboidj,,1
Drew Swinney,Rhoback,Clemson University,Football,https://instagram.com/dswinney5,,1
Aidan Hutchinson,PSD Underwear,University of Michigan,Football,https://instagram.com/aidanhutch97,https://twitter.com/@aidanhutch97,1
Isaiah Spiller,Raising Canes,Texas A&M University,Football,https://instagram.com/isaiahspiller28,https://twitter.com/@isaiah_spiller,1
Keith Brown,PSD Underwear,University of Oregon,Football,https://instagram.com/keith_brown_,,1
Keith Brown,SoHoodie,University of Oregon,Football,https://instagram.com/keith_brown_,,1
Michael Trigg,SoHoodie,University of Southern California,Football,https://instagram.com/trigg.3,https://twitter.com/@mtrigg_23,1
Jackson Powers-Johnson,PSD Underwear,University of Oregon,Football,https://instagram.com/bigjax54,,1
Jackson Powers-Johnson,SoHoodie,University of Oregon,Football,https://instagram.com/bigjax54,,1
Moliki Matavao,GO² Football,University of Oregon,Football,https://instagram.com/moliki.i,https://twitter.com/@MatavaoMoliki,1
Moliki Matavao,SoHoodie,University of Oregon,Football,https://instagram.com/moliki.i,https://twitter.com/@MatavaoMoliki,1
Breece Hall,GO² Football,Iowa State University,Football,https://instagram.com/breecethebeast23,https://twitter.com/@BreeceH,1
Carlos Del Rio-Wilson,PSD Underwear,University of Florida,Football,https://instagram.com/d1_carlos,https://twitter.com/@QBCarlosDelrio,1
Patrick Callan,Rhoback,University of Michigan,Swimming and Diving,https://instagram.com/patrickcallan1,,1
Alex Ross,Barstool Sports,University of Southern California,Golf,https://instagram.com/alexross.57,,1
Alex Ross,Rhoback,University of Southern California,Golf,https://instagram.com/alexross.57,,1
Tyler Baron,Metro Straw,University of Tennessee,Football,https://instagram.com/_tylerbaron,https://twitter.com/@Tylerbaron23,1
Lauren Myrick,Barstool Sports,Mississippi State University,Volleyball,https://instagram.com/laurrenmyrick,https://twitter.com/@laurrenmyrick,0
Jarrett Patterson,Barstool Sports,University of Notre Dame,Football,https://instagram.com/jpatt___,https://twitter.com/@jpattND,1
Jesse Vasquez,Barstool Sports,Utah State University,Football,https://instagram.com/jskez50,https://twitter.com/@Jessevasquez805,1
Jake Kyman,Barstool Sports,"University of California, Los Angeles",Basketball,https://instagram.com/jake_kyman,https://twitter.com/@jakekyman13,1
Sasha Stefanovic,Barstool Sports,Purdue University,Basketball,https://instagram.com/Stefanovicsasha,https://twitter.com/@Sash_Stefanovic,1
Daniel Joseph,Barstool Sports,North Carolina State University,Football,https://instagram.com/_DanielJoseph_,https://twitter.com/@_danieljoseph_,1
Nevaeh DeSouza,Barstool Sports,"University of California, Berkeley",Gymnastics,https://instagram.com/nevydx28,https://twitter.com/@nevydx28,0
Luke Tenuta,Barstool Sports,Virginia Tech,Football,https://instagram.com/luke_tenuta,https://twitter.com/@luke_tenuta,1
Avery Spencer,Barstool Sports,Radford University,Baseball,https://instagram.com/ajspencer07,https://twitter.com/@averysp64334540,1
Meredith Fisher,Barstool Sports,University of Texas at Arlington,Volleyball,https://instagram.com/_meredithfisher,https://twitter.com/@meredithfish21,0
Isaiah Perry,Barstool Sports,Florida State University,Baseball,https://instagram.com/isaiah_perry6,https://twitter.com/@isaiah_perry2,1
Maya Green,Barstool Sports,"University of California, Berkeley",Gymnastics,https://instagram.com/mayagreenn,https://twitter.com/@mayagabb,0
Jaylon Griffin,Barstool Sports,University of Central Florida,Football,https://instagram.com/jaylon1griffin,https://twitter.com/@TheJG__,1
Julia Rabadam,Barstool Sports,University of Cincinnati,Golf,https://instagram.com/juliarabadam,https://twitter.com/@juliarabadam,0
Julia Rabadam,Go Puff,University of Cincinnati,Golf,https://instagram.com/juliarabadam,https://twitter.com/@juliarabadam,0
Brady Manek,Barstool Sports,University of North Carolina at Chapel Hill,Basketball,https://instagram.com/brady_manek,https://twitter.com/@BradyManek,1
Kathryn Wesolich,Barstool Sports,University of Central Florida,Volleyball,https://instagram.com/kathryn.wesolich,https://twitter.com/@kathrynw21,0
Jake Schoffstall,Barstool Sports,Bradley University,Soccer,https://instagram.com/jake_schoff,https://twitter.com/@jakeschoff,1
Amber Brewster,Barstool Sports,Iona College,Lacrosse,https://instagram.com/amberbrewster_1,,0
Amber Brewster,Barstool Sports,Iona College,Lacrosse,https://instagram.com/amberbrewster_1,,0
Julian Reese,Outback Steakhouse,"University of Maryland, College Park",Basketball,https://instagram.com/shifty_ju,https://twitter.com/@reese10julian,1
Mia Isaac,Barstool Sports,"University of Maryland, College Park",Soccer,https://instagram.com/miaaa_10,https://twitter.com/@miaaisaac,0
Mya Jackson,Barstool Sports,Seton Hall University,Basketball,https://instagram.com/myaj_10,https://twitter.com/@myajack10,0
Mya Jackson,Barstool Sports,Seton Hall University,Basketball,https://instagram.com/myaj_10,https://twitter.com/@myajack10,0
Deja Kelly,Outback Steakhouse,University of North Carolina at Chapel Hill,Basketball,https://instagram.com/dejakelly,,0
Daniel McCullon,Barstool Sports,University of Central Florida,Football,https://instagram.com/idloading,https://twitter.com/@id1oading,1
Zach Middleton,Barstool Sports,Oklahoma State University–Stillwater,Football,https://instagram.com/zach_midd05,https://twitter.com/@zach_midd_5,1
Tommy Lewis,Barstool Sports,Lehigh University,Football,https://instagram.com/tommylewis1,,1
Paige Kalkhoff,Barstool Sports,Florida International University,Beach Volleyball,https://instagram.com/paigekalkhoff,https://twitter.com/@paigekalkhoff,0
Naz Hillmon,Outback Steakhouse,University of Michigan,Basketball,https://instagram.com/naz_hillmon,,0
Trayce Jackson-Davis,Pennzoil,Indiana University,Basketball,https://instagram.com/trayce.jackson,https://twitter.com/@traycejackson,1
Oliver Tipton,Celsius,Davidson College,Wrestling,,,1
Oliver Tipton,Liquid I.V.,Davidson College,Wrestling,,,1
Carson Ramos,Barstool Sports,Old Dominion University,Football,https://instagram.com/carrwilldoit,https://twitter.com/@Barson__,1
Carson Ramos,Liquid I.V.,Old Dominion University,Football,https://instagram.com/carrwilldoit,https://twitter.com/@Barson__,1
Jack Betts,LifeStyle Bands,Amherst College,Football,,,1
Gibson Jimerson,Barstool Sports,Saint Louis University,Basketball,https://instagram.com/Gibsonjimerson,https://twitter.com/@JimersonGibson,1
Gibson Jimerson,Barstool Sports,Saint Louis University,Basketball,https://instagram.com/Gibsonjimerson,https://twitter.com/@JimersonGibson,1
Trevor Keels,Outback Steakhouse,Duke University,Basketball,https://instagram.com/trevorkeels,,1
Paolo Banchero,Yahoo! Sports,Duke University,Basketball,https://instagram.com/paolo5,https://twitter.com/@Pp_doesit,1
Ra'Shaun Henry,Barstool Sports,University of Virginia,Football,https://instagram.com/rhenry2_,https://twitter.com/@rhenry2_,1
Trey Patterson,Barstool Sports,Villanova University,Basketball,https://instagram.com/treypatt3,https://twitter.com/@_treypatt3,1
Paige Bueckers,Gatorade,University of Connecticut,Basketball,,,0
Paige Bueckers,StockX,University of Connecticut,Basketball,,,0
Sandra Elsadek,Barstool Sports,Ball State University,Gymnastics,https://instagram.com/Sandra_Elsadek,https://twitter.com/@SandraElsadek,0
Sandra Elsadek,Barstool Sports,Ball State University,Gymnastics,https://instagram.com/Sandra_Elsadek,https://twitter.com/@SandraElsadek,0
Dwight Allen,Barstool Sports,University of Georgia,Baseball,https://instagram.com/dwghtallen,https://twitter.com/@dwghtallen,1
Mollie Belisle,Barstool Sports,University of Georgia,Soccer,https://instagram.com/molliebelisle,https://twitter.com/@MollieBelisle,0
Evan McDonald,Barstool Sports,The Citadel,Track and Field,https://instagram.com/demcd3,https://twitter.com/@Demcd3,1
Evan McDonald,Barstool Sports,The Citadel,Track and Field,https://instagram.com/demcd3,https://twitter.com/@Demcd3,1
Nazar Bombata,Barstool Sports,University of Arizona,Football,https://instagram.com/kinggg_naz,https://twitter.com/@KingNaz10,1
Joe Tyler,Barstool Sports,San Diego State University,Tennis,https://instagram.com/joe_tyler98,https://twitter.com/@JoeyMMT,1
Derek Wingo,Barstool Sports,University of Florida,Football,https://instagram.com/derekwingo,https://twitter.com/@DerekWingo,1
Jaden Abas,Barstool Sports,Stanford University,Wrestling,https://instagram.com/thejadenabas,https://twitter.com/@AbasJaden,1
Jaden Abas,Obsesh Media Inc,Stanford University,Wrestling,https://instagram.com/thejadenabas,https://twitter.com/@AbasJaden,1
Max Agbonkpolo,Barstool Sports,University of Southern California,Basketball,https://instagram.com/themaxpolo,https://twitter.com/@maxpolo15,1
Annie Bagnall,Barstool Sports,Siena College,Soccer,https://instagram.com/annie.bagnall,https://twitter.com/@annie_bagnall,0
Annie Bagnall,Barstool Sports,Siena College,Soccer,https://instagram.com/annie.bagnall,https://twitter.com/@annie_bagnall,0
Grant Basile,Barstool Sports,Wright State University,Basketball,https://instagram.com/grantbasile,https://twitter.com/@GBasile00,1
Kendall Whitman,Barstool Sports,George Washington University,Gymnastics,https://instagram.com/kendallwhitmann,https://twitter.com/@kendallwhitmann,0
Gavyn Dingle,Barstool Sports,"California State University, Bakersfield",Track and Field,https://instagram.com/iamgavyn,https://twitter.com/@iamgavyn,1
Tanner Smith,Barstool Sports,University of Oregon,Baseball,https://instagram.com/tanner.smith,https://twitter.com/@tannerr_smith,1
Bennett Williams,Barstool Sports,University of Oregon,Football,https://instagram.com/bennettw4_08,https://twitter.com/@bennettw04,1
Dennis Barnes,Barstool Sports,University of Texas at El Paso,Football,https://instagram.com/tdbxiii,https://twitter.com/@tdbxiii,1
Marquis Ward,Barstool Sports,Marquette University,Track and Field,https://instagram.com/marquis_ward15,https://twitter.com/@marquis_ward,1
Marquis Ward,Barstool Sports,Marquette University,Track and Field,https://instagram.com/marquis_ward15,https://twitter.com/@marquis_ward,1
Bijan Robinson,Raising Canes,University of Texas at Austin,Football,,,1
Paytin Mercado,Personal Corner,Southern University,Softball,,,0
Paytin Mercado,Too Faced Cosmetics,Southern University,Softball,,,0
Justin Rigg,Barstool Sports,University of Kentucky,Football,https://instagram.com/justinrigg83,https://twitter.com/@justinrigg83,1
Azzia MacDonald,Barstool Sports,Seattle University,Volleyball,https://instagram.com/azziamac,,0
