Title,URL,Description,Date Published
Russia&#39;s Wagner Group arming general behind Sudan insurgency - report,https://www.i24news.tv/en/news/international/africa/1682059282-russia-s-wagner-group-arms-general-behind-sudan-insurgency-report,"The Russian mercenary Wagner group is reportedly helping Sudan’s paramilitary Rapid Support Forces (RSF) in their fight against the internationally recognized regime, media reported Friday.",2023-04-21
Exclusive: Evidence emerges of Russia’s Wagner arming militia leader battling Sudan’s army,https://www.cnn.com/2023/04/20/africa/wagner-sudan-russia-libya-intl/index.html,"In Africa, it has helped to prop up Moscow ... CNN has reached out to SAF for comment. Russian Wagner Group chief Yevgeny Prigozhin denied any involvement in the conflict.",2023-04-21
Switzerland Sanctions Russia&#39;s Wagner Group,https://www.barrons.com/news/switzerland-sanctions-russia-s-wagner-group-355b386,"&quot;The Wagner group is a Russia-based military organisation ... It has been implicated in conflicts in Africa, Latin America and the Middle East. Switzerland is not in the EU but has matched the ...",2023-04-20
Wagner keeps low profile in Sudan to preserve interests,https://www.zawya.com/en/world/africa/wagner-keeps-low-profile-in-sudan-to-preserve-interests-w840hc2f,"&quot;As long as business continues and their influence remains, let the best man win,&quot; he said, summing up the group&#39;s attitude. Colin Clarke, of the New York-based Soufan Center, said Wagner was probably more inclined to lean toward Daglo, &quot;because of his ...",2023-04-20
How Putin is using Sudan for gold and Wagner Group&#39;s mission to infiltrate war torn state,https://www.express.co.uk/news/world/1759716/putin-sudan-war-wagner-group-militia-spt,Fighting in Sudan entered its fourth day on Tuesday as the world realises the extent and severity of what is soon growing into a bloody civil war. Both sides are thought to have brokered a 24-hour ...,2023-04-19
The Wagner Group: doing Russia’s dirty work in Africa,https://www.rnz.co.nz/national/programmes/saturday/audio/2018886212/the-wagner-group-doing-russia-s-dirty-work-in-africa,"A shadowy Russian private military company has been increasingly making its presence felt in Africa. The Wagner Group, often dubbed Putin&#39;s private army, has been involved in conflicts in Libya, Sudan, and the Central African Republic. They stand accused ...",2023-04-18
Russian mercenaries in Sudan: What is the Wagner Group’s role?,https://www.aljazeera.com/news/2023/4/17/what-is-the-wagner-groups-role-in-sudan,The Russian mercenary group has been accused of plundering Sudan’s gold resources to bankroll operations in Ukraine. Wagner Group chief Yevgeny Prigozhin has deployed his mercenaries to Sudan ...,2023-04-18
Is Wagner behind the bloodshed in Sudan? Mercenaries accused of plundering Sudanese gold worth billions have ties to rogue general now waging war on the junta - and fighting ...,https://www.dailymail.co.uk/news/article-11981451/Is-Wagner-bloodshed-Sudan.html,Ties between Russia&#39;s shadowy Wagner group and the Sudanese military have ... the country via military bases in Syria and the Central Africa Republic worth more than $2billion per year as it ...,2023-04-17
Wagner may test West’s response by attacking Baltics – Lithuanian president’s aide,https://www.euractiv.com/section/politics/news/wagner-may-test-wests-response-by-attacking-baltics-lithuanian-presidents-aide/,"Russia’s mercenary group Wagner may try to test Western defence mechanisms by attacking the Baltic states, Kęstutis Budrys, President Gitanas Nausėda’s chief national security advisor, said.",2023-04-17
"Putin&#39;s brutal Wagner hitmen setting up camp in America&#39;s backyard, say leaked documents",https://www.express.co.uk/news/us/1758816/russia-wagner-group-haiti-pentagon-leak-dxus,"says reports Wagner has operations around the world and has been particularly active in Africa, including in Mali and the Central African Republic. The group has also been involved in the bloody ...",2023-04-16
Russia’s Wagner releases over 100 Ukrainian prisoners of war for Orthodox Easter,https://www.cnbcafrica.com/wire/389272,"MOSCOW, April 16 (Reuters) – Russia’s most powerful mercenary group, Wagner, sent at least 100 Ukrainian prisoners of war back to Ukrainian forces to mark Orthodox Easter, according to a video ...",2023-04-16
Factbox: Who are Sudan&#39;s Rapid Support Forces?,https://www.reuters.com/world/africa/who-are-sudans-rapid-support-forces-2023-04-13/,Russian mercenary boss Yevgeny Prigozhin on Friday published an expletive-ridden video personally blaming top defence chiefs for losses suffered by his Wagner Group fighters in Ukraine.,2023-04-15
Wagner in Africa thread,https://politics.ie/threads/wagner-in-africa-thread.287463/,Saudi national carrier says one of its airbus aircrafts had an &quot;accident&quot; in Khartoum airport before its scheduled departure to Riyadh on Saturday — statement I still think a price should be put on the head of every member of the Wagner Group.,2023-04-15
Leaked documents: Russian Wagner Group mercenaries look for business close to U.S.,https://www.nbcnews.com/politics/national-security/leaked-documents-russian-wagner-group-mercenaries-haiti-rcna79440,"Wagner Group units are playing a prominent role in Russia’s invasion of Ukraine, recruiting prison convicts for bloody ground assaults around Bakhmut. In Africa, the Wagner Group has deployed to ...",2023-04-14
Latest in Ukraine: EU Sanctions Russia’s Wagner Mercenary Group,https://www.voanews.com/a/latest-in-ukraine-kyiv-remains-intent-on-reclaiming-crimea-/7048845.html,This marks the second time the EU has sanctioned the Wagner Group. The EU first sanctioned the mercenary group in February over its human rights violations in Africa. That the EU has listed Wagner ...,2023-04-13
EU sanctions Russia&#39;s Wagner group for activities in Ukraine,https://english.ahram.org.eg/NewsContent/2/11/495791/World/War-in-Ukraine/EU-sanctions-Russia;s-Wagner-group-for-activities-.aspx,"The European Union on Thursday added Russia&#39;s Wagner mercenary group to its sanctions list for ... human rights and &quot;destabilizing&quot; countries in Africa. The European Council, representing the ...",2023-04-13
EU Sanctions Russia&#39;s Wagner Group For Activities In Ukraine,https://www.barrons.com/news/eu-sanctions-russia-s-wagner-group-for-activities-in-ukraine-a97a1b93,"The European Union on Thursday added Russia&#39;s Wagner mercenary group to its sanctions list for ... human rights and &quot;destabilising&quot; countries in Africa. The European Council, representing the ...",2023-04-13
Putin’s crony smells profit in Sudan conflict,https://www.thetimes.co.uk/article/putins-crony-smells-profit-in-sudan-conflict-nhjb0b3qm,"Vladimir Putin’s former chef, Yevgeny Prigozhin, is cooking up a storm in Africa. His guns-for-hire Wagner Group has trained and equipped a well-funded paramilitary outfit in Sudan that is ...",2023-04-19
Russia’s fingerprints are on Sudan coup attempt,https://thehill.com/opinion/international/3955933-russias-fingerprints-are-on-sudan-coup-attempt/,The Wagner Group — a notorious private military company ... climate change and reproductive justice Russia’s influence in Africa remains purely disruptive and predatory. The Kremlin will ...,2023-04-18
"Who are the Rapid Support Forces, the paramilitaries fighting Sudan’s Army?",https://www.nytimes.com/2023/04/17/world/africa/paramilitary-rsf-explainer.html,"He has also deepened his connection to foreign powers, visiting Russia at the beginning of the war on Ukraine, partnering with the Wagner mercenary group to dig for gold in Sudan, and deploying ...",2023-04-18
"Wagner’s Prigozhin wants at least 33,000 more convict recruits to his PMC",https://news.yahoo.com/wagner-prigozhin-wants-least-33-161000609.html,"Read also: Dykyi explains why Prigozhin decided to return Wagner PMC to Africa Comparing data on the number of convicts ... Read also: Assaulting Bakhmut will exhaust Wagner Group PMC in two months, officer says Wagner PMC announced in February that ...",2023-04-17
Is Wagner behind the bloodshed in Sudan?,https://www.dailymail.co.uk/news/article-11981451/amp/Is-Wagner-bloodshed-Sudan.html,"Wagner group insignia is pictured In the eight years ... and went on to operate in countries throughout Africa including Mali, Central African Republic, Mozambique and Sudan.",2023-04-17
YouTube hosted Wagner group’s rap songs,https://www.thetimes.co.uk/article/wagner-group-russia-ukraine-war-propaganda-big-tech-j5ncgjbvd,"Dozens of propaganda clips appear on the video and social media platform that glorify the Wagner Group, mercenaries accused ... from jails in Russia and Africa, are leading the battle for Bakhmut ...",2023-04-17
Wagner mercenary chief says Ukraine&#39;s counteroffensive could succeed against Russian forces because of &#39;lazy Kremlin elite&#39;,https://www.dailymail.co.uk/news/article-11976851/Wagner-mercenary-chief-says-Ukraines-counteroffensive-succeed-against-Russian-forces.html,"Private Military Company (PMC) Wagner is a mercenary group headed up by Russian oligarch ... and went on to operate in countries throughout Africa including Mali, Central African Republic ...",2023-04-15
Putin dealt huge blow as Wagner chief and major ally calls for end of Ukraine war,https://www.express.co.uk/news/world/1758633/putin-wagner-group-Prigozhin-ukraine-war,The Wagner Group is known for its heinous tactics ... A British mercenary has described an incident off Africa&#39;s east coast where Wagner operatives caught some pirates. They said: &quot;They tied ...,2023-04-15
Wagner boss Yevgeny Prigozhin urges Vladimir Putin to stop Ukraine war and tell world Russia has won,https://www.dailymail.co.uk/news/article-11975585/Wagner-boss-Yevgeny-Prigozhin-urges-Vladimir-Putin-stop-Ukraine-war-tell-world-Russia-won.html?ci=556581,"Private Military Company (PMC) Wagner is a mercenary group headed up by Russian oligarch ... and went on to operate in countries throughout Africa including Mali, Central African Republic ...",2023-04-15
Leading Putin crony Prigozhin urges leader to stop Ukraine war now and tell the world Russia has won &#39;by destroying a large part of the Ukrainian male population and grabbing ...,https://www.dailymail.co.uk/news/article-11975585/Wagner-boss-Yevgeny-Prigozhin-urges-Vladimir-Putin-stop-Ukraine-war-tell-world-Russia-won.html,"Private Military Company (PMC) Wagner is a mercenary group headed up by Russian oligarch ... and went on to operate in countries throughout Africa including Mali, Central African Republic ...",2023-04-15
‘Glory to Putin’: How Pro-Russian Narratives Spread in Africa,https://news.yahoo.com/glory-putin-pro-russian-narratives-181533622.html,"In South Africa, a social media influencer who added “Vladimir ... newly revealed U.S. intelligence document — shows a brave Russian commando from the Wagner group, which is fighting for Russia in Ukraine, joining West African soldiers to defeat ...",2023-04-13
Leaked documents reveal heightened US anxiety over Russian and Chinese influence in Africa and Latin America,https://www.cnn.com/2023/04/13/politics/classified-leaks-pentagon-china-russia-africa/index.html,"In a March trip to Africa meant to boost US support for the continent in the face of Chinese and Russian influence, US Secretary of State Antony Blinken accused Wagner Group of fueling violence ...",2023-04-13
"Leaked documents reveal US anxiety over Russian, Chinese influence in Africa",https://www.vanguardngr.com/2023/04/leaked-documents-reveal-us-anxiety-over-russian-chinese-influence-in-africa/,"In a March trip to Africa meant to boost US support for the continent in the face of Chinese and Russian influence, US Secretary of State Antony Blinken accused Wagner Group of fueling violence ...",2023-04-13
Leaked documents suggest Russia&#39;s Wagner Group mercenaries look for business close to U.S.,https://www.aol.com/leaked-documents-russian-wagner-group-212814235.html,"Wagner Group units are playing a prominent role in Russia’s invasion of Ukraine, recruiting prison convicts for bloody ground assaults around Bakhmut. In Africa, the Wagner Group has deployed to ...",2023-04-13
Why Russia Can Circumvent Sanctions Using the Central African Republic,https://www.thenation.com/article/world/russia-central-african-republic-sanctions/,"The Wagner group is financed by Yevgeny Prigozhin ... and exploited valuable natural resources in Central Africa. Many Central Africans support Wagner’s presence in their country, despite ...",2023-04-13
Conflict in eastern Congo forces thousands of schools to close,https://www.reuters.com/world/africa/conflict-eastern-congo-forces-thousands-schools-close-2023-04-12/,"KIHISI, Democratic Republic Of Congo, April 12 (Reuters) - Thomas Tumusifu Buregeya wishes he were studying for his final school exams. Instead, he scrapes a living doing odd jobs in a displaced ...",2023-04-13
"Wagner, PMSCs, and the Limits of Transnational Governance",https://www.lawfareblog.com/wagner-pmscs-and-limits-transnational-governance,"Recent headlines about the Wagner Group bring back to the fore the perennially problematic ... of African Unity Convention for the Elimination of Mercenaries in Africa (OAU Convention). To begin with, these instruments have only limited applicability ...",2023-04-13
Leaked documents: Russian Wagner Group mercenaries want work in Haiti,https://news.yahoo.com/leaked-documents-russian-wagner-group-232814629.html,"Wagner Group units are playing a prominent role in Russia’s invasion of Ukraine, recruiting prison convicts for bloody ground assaults around Bakhmut. In Africa, the Wagner Group has deployed to the Central African Republic and Mali. But the leaked ...",2023-04-13
EA Asare: Russian military specialists from Wagner Group ready to risk lives for Central Africa Republic,https://dailypost.ng/2023/04/12/ea-asare-russian-military-specialists-from-wagner-group-ready-to-risk-lives-for-central-africa-republic/,"Journalist and researcher John Lechner has published a study on the effectiveness of the Russian Wagner group, whose military specialists are ready to fight terrorists on a par with the national ...",2023-04-12
The Times view on the Wagner group’s move into Africa: Moscow’s Mercenaries,https://www.thetimes.co.uk/article/the-times-view-on-the-wagner-groups-move-into-africa-moscows-mercenaries-26fp5gwz0,"For several years Wagner mercenaries have been operating in Africa, using military, economic and political interventions that deepen violence and corruption, entrench military rulers in power and ...",2023-04-11
Wagner Group founder: Flanks of Russian offensive on Bakhmut &#39;handed over&#39; to defense ministry,https://news.yahoo.com/wagner-group-founder-flanks-russian-155246260.html,"Wagner Group founder Yevgeny Prigozhin said in a video posted on ... former perceives as a lack of proper artillery support for Wagner troops in Ukraine and Africa. On April 7, the Russian Foreign Ministry (MFA) responded to Prigozhin&#39;s criticisms of ...",2023-04-11
Wagner Group expands operations in Africa to boost Russia’s influence,https://www.thetimes.co.uk/article/wagner-group-aggressively-expands-operations-in-africa-2hwt3ztqp,"Wagner Group, the private military company best known ... s chef” — the other was a former bus driver from west Africa",2023-04-11
Kremlin continues to undermine Wagner Group Financier&#39;s reputation,https://news.yahoo.com/kremlin-continues-undermine-wagner-group-044730233.html,Source: ISW Details: Prigozhin reportedly criticised the work of the Russian Foreign Ministry in Africa on 7 April. He said it was &quot;doing absolutely nothing&quot; and that the Wagner PMC was facing &quot;enormous difficulties&quot; in interacting with the region&#39;s ...,2023-04-11
EU needs to be more vocal about repression and violence to its south,https://www.politico.eu/article/eu-vocal-repression-violence-north-africa-wagner-group/,"At the same time, across North Africa and the Sahel, Russia’s paramilitary Wagner Group represents a gathering threat. Moreover, the two lone cases of democracy — albeit imperfect — are now both joining the crowded club of authoritarian states too.",2023-04-11
ISW: Wagner Group founder Prigozhin seeking to advance his political aspirations,https://news.yahoo.com/isw-wagner-group-founder-prigozhin-025700266.html,"Wagner Group financier Yevgeny Prigozhin has started cooperating ... Prigozhin has also expressed discontent with Russia’s actions in Ukraine and Africa, claiming that the MFA does “absolutely nothing” to assist Wagner forces in both areas.",2023-04-11
Wagner Boss Prigozhin Steps Up Political Ambitions in Russia,https://www.newsweek.com/wagner-group-yevgeny-prigozhin-political-ambitions-russia-st-petersburg-1793517,"The head of the mercenary Wagner Group is likely looking to further his ... Prigozhin had criticized Moscow&#39;s work in Africa, saying the mercenary outfit faced &quot;enormous difficulties&quot; and ...",2023-04-11
"Russian jets, some flown by Wagner mercenaries, are making risky attacks to test Ukraine&#39;s defenses around Bakhmut",https://www.businessinsider.com/russia-uses-jets-flown-by-wagner-against-ukraine-in-bakhmut-2023-4,US Africa Command said in May 2020 that Russia had sent at least 14 MiG-29 and several Su-24 fighters to Libya to support Wagner Group mercenaries. The top US Air Force commander in Africa at the ...,2023-04-10
Leaked documents reveal Russian mercenary group Wagner is operating in Haiti,https://www.dailymail.co.uk/news/article-11953371/Leaked-documents-reveal-Russian-mercenary-group-Wagner-operating-Haiti.html,A trove of classified documents leaked this week have revealed that a Russian mercenary group is operating in Haiti - under the United States&#39; nose. The terrifying group went viral in 2022 after a ...,2023-04-09
"Wagner’s Influence Extends Far Beyond Ukraine, Leaked Documents Show",https://www.nytimes.com/2023/04/08/world/europe/wagner-group-pentagon-documents-russia.html,"The mercenary group Wagner — known for its skill on the battlefield ... is actively working to thwart American interests in Africa and has explored branching out to Haiti, right under the ...",2023-04-08
"After Burkina Faso ousts French, Russia’s Wagner may arrive",https://apnews.com/article/burkina-faso-russia-wagner-jihadi-02d9235279f0991cdb6ad3ebb4d3e546,"African countries have often paid the Russian group for its mercenary fighters by granting Wagner access to natural resources, such as mining concessions. Western countries say the use of Wagner mercenaries in Africa is a red line. French President ...",2023-04-07
"After Burkina Faso ousts French, Russia&#39;s Wagner may arrive",https://www.wboc.com/news/international/after-burkina-faso-ousts-french-russias-wagner-may-arrive/article_74908975-76fa-5978-9e61-8493c2a7ceae.html,Western countries say the use of Wagner mercenaries in Africa is a red line. French President Emmanuel Macron called the Wagner group “criminal mercenaries” and “the life insurance of ...,2023-04-07
"After Burkina Faso Ousts French, Russia&#39;s Wagner May Arrive",https://www.usnews.com/news/world/articles/2023-04-07/after-burkina-faso-ousts-french-russias-wagner-may-arrive,Western countries say the use of Wagner mercenaries in Africa is a red line. French President Emmanuel Macron called the Wagner group “criminal mercenaries” and “the life insurance of ...,2023-04-07
Prigozhin Says He Wants Mercenary Recruiters in Europe for ‘Mystery’ Plan,https://www.thedailybeast.com/russias-yevgeny-prigozhin-says-he-wants-wagner-boss-recruiters-in-europe-for-mystery-plan,"Russia’s notorious Wagner Group has sent mobile brigades to trawl ... was on track to back away from Ukraine and shift instead to Africa, an amped-up recruiting drive is well underway in ...",2023-04-07
Wagner Group mercenaries are getting a lot more help from Russia&#39;s military than Prigozhin would like you to think,https://ca.style.yahoo.com/wagner-group-mercenaries-getting-lot-220300727.html,"Yevgeny Prigozhin, leader of Russia&#39;s Wagner Group, has been highly visible during the war in Ukraine. Prigozhin frequently casts his mercenary group as fighting on its own, without Russian military support. But Moscow is backing Wagner, according to a US ...",2023-04-05
"Russia wants to ditch the Wagner Group and replace it with another private army that&#39;s easier to control, UK intel says",https://www.businessinsider.in/international/news/russia-wants-to-ditch-the-wagner-group-and-replace-it-with-another-private-army-thats-easier-to-control-uk-intel-says/articleshow/99243838.cms,"Wagner Group mercenaries have been heavily involved ... away from the war in Ukraine and refocus his attention back to Africa, where his fighters are believed to have a presence in Sudan and ...",2023-04-05
White House: Russia’s Wagner received arms from N. Korea,https://www.asahi.com/ajw/articles/14799971,"Wagner Group mercenaries have also been accused by Western countries and U.N. experts of numerous human rights abuses throughout Africa, including in the Central African Republic, Libya and Mali.",2023-04-04
What is the Wagner Group?,https://www.dailymail.co.uk/news/fb-11919367/amp/What-Wagner-Group.html,"Wagner group insignia is pictured In the eight years ... and went on to operate in countries throughout Africa including Mali, Central African Republic, Mozambique and Sudan.",2023-03-30
"Wagner founder rejects claim that he is about to pull back from Ukraine, saying the group will fight there &#39;as long as our country needs us&#39;",https://finance.yahoo.com/news/wagner-founder-rejects-claim-pull-133959085.html,"Bloomberg reported the pro-Kremlin group was making the move after ... Instead, he plans to focus on Africa, where Wagner has been accused of war crimes, the sources said. But Prigozhin pushed ...",2023-03-23
Desperate Putin advertising on Pornhub for Russian men to join Wagner Group private army and fight in Ukraine,https://www.thescottishsun.co.uk/news/10375753/putin-advertising-pornhub-wagner-group/,The feared Wagner Group placed a provocative advert on the ... cut its teeth in Crimea and then in proxy wars across Africa and the Middle East - all the while collecting accusations of war ...,2023-03-16
